name,stars,numReviews,cuisine,priceRange,Url
A.O.C.,4.5,451,Wine Bar,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d350445-Reviews-A_O_C-Los_Angeles_California.html
Madeo,4.5,339,Italian,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d348151-Reviews-Madeo-Los_Angeles_California.html
Karl Strauss Brewing Company,4.5,118,"American, Brew Pub",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d11829076-Reviews-Karl_Strauss_Brewing_Company-Los_Angeles_California.html
The Butcher's Daughter,4.5,475,Healthy,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d10277953-Reviews-The_Butcher_s_Daughter-Los_Angeles_California.html
Redbird,4.5,266,American,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d7617914-Reviews-Redbird-Los_Angeles_California.html
Sushi A Go Go,4.5,749,"Japanese, International",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d509121-Reviews-Sushi_A_Go_Go-Los_Angeles_California.html
El Compadre,4.5,94,"Mexican, Latin",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d4504016-Reviews-El_Compadre-Los_Angeles_California.html
Aroma Coffee & Tea,4.5,295,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d941759-Reviews-Aroma_Coffee_Tea-Los_Angeles_California.html
The Front Yard,4.5,549,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1785462-Reviews-The_Front_Yard-Los_Angeles_California.html
Cafe Santorini,4.5,490,"Mediterranean, Greek",Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d343285-Reviews-Cafe_Santorini-Pasadena_California.html
Bestia,4.5,627,Italian,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d3731729-Reviews-Bestia-Los_Angeles_California.html
Bossa Nova Brazilian Cuisine,4.5,522,"Italian, South American",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d350443-Reviews-Bossa_Nova_Brazilian_Cuisine-Los_Angeles_California.html
Perch,4.5,950,"French, American",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d2241406-Reviews-Perch-Los_Angeles_California.html
Katsuya,4.5,563,"Japanese, Sushi",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d810050-Reviews-Katsuya-Los_Angeles_California.html
Baco Mercat,4.5,316,,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d2439499-Reviews-Baco_Mercat-Los_Angeles_California.html
Blujam Cafe,4.5,267,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d364804-Reviews-Blujam_Cafe-Los_Angeles_California.html
Stout Burgers & Beers,4.5,241,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d4231470-Reviews-Stout_Burgers_Beers-Los_Angeles_California.html
Ca' Del Sole,4.5,194,Italian,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d364902-Reviews-Ca_Del_Sole-Los_Angeles_California.html
Baby Blues BBQ,4.5,371,"American, Barbecue",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d647761-Reviews-Baby_Blues_BBQ-Los_Angeles_California.html
Tatsu Ramen,4.5,167,"Japanese, Asian",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d4178694-Reviews-Tatsu_Ramen-Los_Angeles_California.html
Crossroads Kitchen Melrose,4.5,325,American,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d4039585-Reviews-Crossroads_Kitchen_Melrose-Los_Angeles_California.html
Umami Burger,4,463,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1453257-Reviews-Umami_Burger-Los_Angeles_California.html
Vivian's Millennium Cafe,4.5,199,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d894574-Reviews-Vivian_s_Millennium_Cafe-Los_Angeles_California.html
Fogo de Chao Brazilian Steakhouse,4.5,561,"Steakhouse, Brazilian",High,https://www.tripadvisor.com/Restaurant_Review-g32070-d560143-Reviews-Fogo_de_Chao_Brazilian_Steakhouse-Beverly_Hills_California.html
Rainbow Bar & Grill,4.5,490,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1114095-Reviews-Rainbow_Bar_Grill-Los_Angeles_California.html
Pizzeria Mozza,4,744,"Italian, Pizza",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d782715-Reviews-Pizzeria_Mozza-Los_Angeles_California.html
The Original Pantry,4,983,"American, Cafe",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d364736-Reviews-The_Original_Pantry-Los_Angeles_California.html
Malibu Farm Pier Cafe,4.5,221,"Cafe, American",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d11895323-Reviews-Malibu_Farm_Pier_Cafe-Los_Angeles_California.html
The Terrace,4.5,180,"Italian, American",Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d3812478-Reviews-The_Terrace-West_Hollywood_California.html
The Little Door,4.5,305,"French, Mediterranean",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d3572415-Reviews-The_Little_Door-Los_Angeles_California.html
The Factory Kitchen,4.5,267,"Italian, Pizza",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d5771804-Reviews-The_Factory_Kitchen-Los_Angeles_California.html
25 Degrees,4,868,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d611377-Reviews-25_Degrees-Los_Angeles_California.html
Connie & Ted's,4,389,"American, Seafood",Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d4308245-Reviews-Connie_Ted_s-West_Hollywood_California.html
Ayara Thai Cuisine,4.5,265,"Asian, Thai",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d869075-Reviews-Ayara_Thai_Cuisine-Los_Angeles_California.html
Venice Ale House,4,486,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1857442-Reviews-Venice_Ale_House-Los_Angeles_California.html
Home Restaurant,4.5,224,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d364778-Reviews-Home_Restaurant-Los_Angeles_California.html
Cafe Gratitude Larchmont,4.5,275,Cafe,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d2629080-Reviews-Cafe_Gratitude_Larchmont-Los_Angeles_California.html
The Ivy,4,2146,American,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d348150-Reviews-The_Ivy-Los_Angeles_California.html
Lawry's The Prime Rib,4.5,773,"American, Steakhouse",High,https://www.tripadvisor.com/Restaurant_Review-g32070-d350100-Reviews-Lawry_s_The_Prime_Rib-Beverly_Hills_California.html
The Stinking Rose,4,630,Italian,Medium,https://www.tripadvisor.com/Restaurant_Review-g32070-d350212-Reviews-The_Stinking_Rose-Beverly_Hills_California.html
Canter's Deli,4,798,American,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d350465-Reviews-Canter_s_Deli-Los_Angeles_California.html
Genwa Korean BBQ,4.5,198,"Asian, Korean",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1994657-Reviews-Genwa_Korean_BBQ-Los_Angeles_California.html
Otium Restaurant,4,442,"Contemporary, American",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d8803003-Reviews-Otium_Restaurant-Los_Angeles_California.html
california PIZZA KITCHEN,4,1237,"Italian, American",Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d376005-Reviews-California_PIZZA_KITCHEN-West_Hollywood_California.html
Green Street Restaurant,4.5,493,American,Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d4522441-Reviews-Green_Street_Restaurant-Pasadena_California.html
The Tower Bar,4.5,326,"American, Bar",High,https://www.tripadvisor.com/Restaurant_Review-g33252-d730125-Reviews-The_Tower_Bar-West_Hollywood_California.html
Animal,4.5,286,"American, Contemporary",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d1464163-Reviews-Animal-Los_Angeles_California.html
Union,4.5,196,Italian,High,https://www.tripadvisor.com/Restaurant_Review-g32859-d6884353-Reviews-Union-Pasadena_California.html
Culina,4.5,302,Italian,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d1759683-Reviews-Culina-Los_Angeles_California.html
Mel's Drive-In,4,1019,"American, Diner",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d375986-Reviews-Mel_s_Drive_In-Los_Angeles_California.html
Katana LA,4.5,550,"Japanese, Sushi",High,https://www.tripadvisor.com/Restaurant_Review-g33252-d350449-Reviews-Katana_LA-West_Hollywood_California.html
Cecconi's West Hollywood,4,569,Italian,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d1533697-Reviews-Cecconi_s_West_Hollywood-Los_Angeles_California.html
Osteria Mozza,4,695,Italian,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d945030-Reviews-Osteria_Mozza-Los_Angeles_California.html
Johnny Rockets,4,1033,"American, Fast Food",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d376101-Reviews-Johnny_Rockets-Los_Angeles_California.html
Superba Food + Bread,4.5,173,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d6649826-Reviews-Superba_Food_Bread-Los_Angeles_California.html
26 Beach Cafe,4.5,299,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d373603-Reviews-26_Beach_Cafe-Los_Angeles_California.html
Roscoe's House of Chicken & Waffles,4,838,American,Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d364727-Reviews-Roscoe_s_House_of_Chicken_Waffles-Los_Angeles_California.html
Ruby's Diner,4.5,268,"American, Diner",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d348872-Reviews-Ruby_s_Diner-Los_Angeles_California.html
Mi Piace,4,565,Italian,Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d343311-Reviews-Mi_Piace-Pasadena_California.html
The Coffee Company,4.5,150,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d4244361-Reviews-The_Coffee_Company-Los_Angeles_California.html
Drago Centro,4,287,Italian,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d1312378-Reviews-Drago_Centro-Los_Angeles_California.html
Yang Chow,4,395,"Chinese, Asian",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d364750-Reviews-Yang_Chow-Los_Angeles_California.html
Monsieur Marcel's Gourmet Market and Restaurant,4.5,254,"French, European",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d447885-Reviews-Monsieur_Marcel_s_Gourmet_Market_and_Restaurant-Los_Angeles_California.html
Blu Jam Cafe,4.5,213,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d4607221-Reviews-Blu_Jam_Cafe-Los_Angeles_California.html
Nobu Los Angeles,4.5,494,"Japanese, Seafood",High,https://www.tripadvisor.com/Restaurant_Review-g33252-d1017797-Reviews-Nobu_Los_Angeles-West_Hollywood_California.html
Saddle Ranch Chop House,4.5,1787,"American, Steakhouse",Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d491879-Reviews-Saddle_Ranch_Chop_House-West_Hollywood_California.html
Bubba Gump Shrimp Co.,4,1164,"American, Seafood",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d911418-Reviews-Bubba_Gump_Shrimp_Co-Los_Angeles_California.html
Catch LA,4,541,"Seafood, Sushi",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d11620640-Reviews-Catch_LA-Los_Angeles_California.html
Hard Rock Cafe,4,2513,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1870067-Reviews-Hard_Rock_Cafe-Los_Angeles_California.html
Wood Ranch BBQ & Grill,4,302,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d350480-Reviews-Wood_Ranch_BBQ_Grill-Los_Angeles_California.html
Spice Affair,4.5,194,Indian,High,https://www.tripadvisor.com/Restaurant_Review-g32070-d7304207-Reviews-Spice_Affair-Beverly_Hills_California.html
Yard House,4,707,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d2419501-Reviews-Yard_House-Los_Angeles_California.html
Apple Pan,4,368,"American, Fast Food",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d348068-Reviews-Apple_Pan-Los_Angeles_California.html
Daikokuya,4.5,272,"Japanese, Asian",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d1022582-Reviews-Daikokuya-Los_Angeles_California.html
Good Neighbor,4.5,160,"American, Cafe",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d2421061-Reviews-Good_Neighbor-Los_Angeles_California.html
Joselito's Mexican Food,4.5,93,"Mexican, Latin",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d3898164-Reviews-Joselito_s_Mexican_Food-Los_Angeles_California.html
Daily Grill,4,403,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1775031-Reviews-Daily_Grill-Los_Angeles_California.html
Slater's 50/50,4,274,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d3656733-Reviews-Slater_s_50_50-Pasadena_California.html
Faith & Flower,4.5,262,American,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d6636627-Reviews-Faith_Flower-Los_Angeles_California.html
Swingers,4,292,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d350486-Reviews-Swingers-Los_Angeles_California.html
Pann's Restaurant,4.5,216,"American, Diner",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d349677-Reviews-Pann_s_Restaurant-Los_Angeles_California.html
WeHo Bistro,4.5,193,French,Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d832083-Reviews-WeHo_Bistro-West_Hollywood_California.html
Yamashiro Hollywood,4,882,"Japanese, Sushi",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d364899-Reviews-Yamashiro_Hollywood-Los_Angeles_California.html
Maggiano's - Farmers Market,4,358,Italian,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1315940-Reviews-Maggiano_s_Farmers_Market-Los_Angeles_California.html
Napa Valley Grille,4,291,American,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d348049-Reviews-Napa_Valley_Grille-Los_Angeles_California.html
Scopa Italian Roots,4.5,198,Italian,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d7995032-Reviews-Scopa_Italian_Roots-Los_Angeles_California.html
Carlitos Gardel,4.5,225,"Steakhouse, Latin",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d371845-Reviews-Carlitos_Gardel-Los_Angeles_California.html
JW Steakhouse,4.5,217,"American, Steakhouse",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d3956941-Reviews-JW_Steakhouse-Los_Angeles_California.html
Le Petit Four,4.5,475,French,Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d350474-Reviews-Le_Petit_Four-West_Hollywood_California.html
Mels Drive-In,4,982,"American, Diner",Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d509420-Reviews-Mels_Drive_In-West_Hollywood_California.html
Matsuhisa,4.5,432,"Japanese, Sushi",High,https://www.tripadvisor.com/Restaurant_Review-g32070-d350154-Reviews-Matsuhisa-Beverly_Hills_California.html
Petit Trois,4.5,154,"French, European",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d7101596-Reviews-Petit_Trois-Los_Angeles_California.html
The Venice Whaler,4,463,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d542604-Reviews-The_Venice_Whaler-Los_Angeles_California.html
Arroyo Chop House,4.5,239,"American, Steakhouse",High,https://www.tripadvisor.com/Restaurant_Review-g32859-d343317-Reviews-Arroyo_Chop_House-Pasadena_California.html
TAM O'SHANTER,4,331,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d338895-Reviews-TAM_O_SHANTER-Los_Angeles_California.html
Guelaguetza Restaurante,4.5,171,"Mexican, Latin",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d364729-Reviews-Guelaguetza_Restaurante-Los_Angeles_California.html
Laurel Hardware,4.5,232,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d3461212-Reviews-Laurel_Hardware-West_Hollywood_California.html
IHOP,4,316,"American, Diner",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d4195133-Reviews-IHOP-Los_Angeles_California.html
Hinano Cafe,4.5,129,"American, Bar",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d480679-Reviews-Hinano_Cafe-Los_Angeles_California.html
The Rose Venice,4,559,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d550479-Reviews-The_Rose_Venice-Los_Angeles_California.html
El Coyote,4,326,"Mexican, Latin",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d350499-Reviews-El_Coyote-Los_Angeles_California.html
Gjelina,4,1243,"Mexican, Fusion",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1201927-Reviews-Gjelina-Los_Angeles_California.html
Bludsos BBQ,4.5,147,"American, Barbecue",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d5013667-Reviews-Bludsos_BBQ-Los_Angeles_California.html
Du-par's Restaurant & Bakery,4,290,"American, Diner",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d480677-Reviews-Du_par_s_Restaurant_Bakery-Los_Angeles_California.html
Marston's,4,270,American,Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d343299-Reviews-Marston_s-Pasadena_California.html
Downtown,4.5,255,"American, Steakhouse",High,
Luv2Eat Thai Bistro,4.5,109,"Asian, Thai",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d7371183-Reviews-Luv2Eat_Thai_Bistro-Los_Angeles_California.html
Bavel,4.5,109,"American, Mediterranean",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d13576871-Reviews-Bavel-Los_Angeles_California.html
El Tepeyac,4.5,228,"Mexican, Latin",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d364691-Reviews-El_Tepeyac-Los_Angeles_California.html
Industriel,4.5,184,"American, International",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d3441936-Reviews-Industriel-Los_Angeles_California.html
Fleming's Prime Steakhouse & Wine Bar,4,318,"American, Steakhouse",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d1972761-Reviews-Fleming_s_Prime_Steakhouse_Wine_Bar-Los_Angeles_California.html
JOEY DTLA,4.5,76,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d17711720-Reviews-JOEY_DTLA-Los_Angeles_California.html
Gracias Madre,4.5,739,"Mexican, Latin",Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d6453465-Reviews-Gracias_Madre-West_Hollywood_California.html
Mohawk Bend,4.5,160,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d2407910-Reviews-Mohawk_Bend-Los_Angeles_California.html
Beauty & Essex,4.5,133,American,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d12326872-Reviews-Beauty_Essex-Los_Angeles_California.html
Newport Seafood Restaurant,4.5,168,"Chinese, Seafood",Medium,https://www.tripadvisor.com/Restaurant_Review-g33015-d356283-Reviews-Newport_Seafood_Restaurant-San_Gabriel_California.html
Park's BBQ,4.5,125,"Barbecue, Asian",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d801725-Reviews-Park_s_BBQ-Los_Angeles_California.html
The Restaurant Los Angeles,4,233,"American, Contemporary",High,
Damon's Steak House,4,238,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32431-d364747-Reviews-Damon_s_Steak_House-Glendale_California.html
Barney's Beanery,4,301,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d495225-Reviews-Barney_s_Beanery-West_Hollywood_California.html
Julienne,4.5,183,"Cafe, French",Medium,https://www.tripadvisor.com/Restaurant_Review-g33029-d344281-Reviews-Julienne-San_Marino_California.html
Wurstkuche Restaurant Venice Beach,4.5,124,"German, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d3650021-Reviews-Wurstkuche_Restaurant_Venice_Beach-Los_Angeles_California.html
71Above Restaurant and Skylounge,4,243,American,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d10629632-Reviews-71Above_Restaurant_and_Skylounge-Los_Angeles_California.html
kitchen24,4,694,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g33252-d2717571-Reviews-Kitchen24-West_Hollywood_California.html
Marmalade Cafe,4,290,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d2220587-Reviews-Marmalade_Cafe-Los_Angeles_California.html
Tao,4.5,157,"Chinese, Japanese",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d12360908-Reviews-Tao-Los_Angeles_California.html
BOA Steakhouse,4.5,479,"American, Steakhouse",High,https://www.tripadvisor.com/Restaurant_Review-g33252-d350425-Reviews-BOA_Steakhouse-West_Hollywood_California.html
Masa of Echo Park,4.5,152,"Pizza, Italian",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d814338-Reviews-Masa_of_Echo_Park-Los_Angeles_California.html
Sushi Katsu-ya,4.5,154,"Sushi, Asian",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d357551-Reviews-Sushi_Katsu_ya-Los_Angeles_California.html
